measure_name,location_name,sex_name,age_name,cause_id,cause,year,rate,upper,lower
Deaths,Brazil,Male,All Ages,344,344 - Neglected tropical diseases and malaria,1991,9.674092715,17.85875293,6.828182322
Deaths,Brazil,Female,All Ages,344,344 - Neglected tropical diseases and malaria,1991,5.78596574,10.12777175,4.202462664
Deaths,Brazil,Both,All Ages,344,344 - Neglected tropical diseases and malaria,1991,7.707033166,13.98559431,5.514585656
Deaths,Brazil,Male,All Ages,542,542 - Neurological disorders,1991,18.10373337,18.60459981,17.57754619
Deaths,Brazil,Female,All Ages,542,542 - Neurological disorders,1991,23.37670813,23.89338672,22.7165343
Deaths,Brazil,Both,All Ages,542,542 - Neurological disorders,1991,20.7714074,21.16794402,20.25444478
Deaths,Brazil,Male,All Ages,558,558 - Mental disorders,1991,0.000905538,0.00103294,0.000800153
Deaths,Brazil,Female,All Ages,558,558 - Mental disorders,1991,0.004185287,0.004698988,0.003753999
Deaths,Brazil,Both,All Ages,558,558 - Mental disorders,1991,0.00256481,0.002826666,0.002341897
Deaths,Brazil,Male,All Ages,386,386 - Nutritional deficiencies,1991,11.02258788,12.10196012,9.808276729
Deaths,Brazil,Female,All Ages,386,386 - Nutritional deficiencies,1991,8.281203834,9.408072657,7.264607917
Deaths,Brazil,Both,All Ages,386,386 - Nutritional deficiencies,1991,9.63568213,10.47971765,8.881556908
Deaths,Brazil,Male,All Ages,508,508 - Chronic respiratory diseases,1991,33.88053803,34.61370346,33.17451918
Deaths,Brazil,Female,All Ages,508,508 - Chronic respiratory diseases,1991,23.39296216,24.73127641,22.63597399
Deaths,Brazil,Both,All Ages,508,508 - Chronic respiratory diseases,1991,28.57472205,29.23229348,28.06747958
Deaths,Brazil,Male,All Ages,526,526 - Digestive diseases,1991,36.73672068,37.79153691,35.68252892
Deaths,Brazil,Female,All Ages,526,526 - Digestive diseases,1991,18.42608242,18.94503091,17.74947829
Deaths,Brazil,Both,All Ages,526,526 - Digestive diseases,1991,27.47310453,28.17449217,26.67503032
Deaths,Brazil,Male,All Ages,973,973 - Substance use disorders,1991,5.815205911,6.035441318,5.637264072
Deaths,Brazil,Female,All Ages,973,973 - Substance use disorders,1991,0.854191553,0.92178659,0.586337691
Deaths,Brazil,Both,All Ages,973,973 - Substance use disorders,1991,3.305357153,3.440306688,3.144512525
Deaths,Brazil,Male,All Ages,974,974 - Diabetes and kidney diseases,1991,24.19108601,24.75747238,23.59087734
Deaths,Brazil,Female,All Ages,974,974 - Diabetes and kidney diseases,1991,26.75293754,27.41203555,26.07246238
Deaths,Brazil,Both,All Ages,974,974 - Diabetes and kidney diseases,1991,25.48716367,25.92393832,25.02244632
Deaths,Brazil,Male,All Ages,955,955 - HIV/AIDS and sexually transmitted infections,1991,13.59986256,17.33028159,11.32725707
Deaths,Brazil,Female,All Ages,955,955 - HIV/AIDS and sexually transmitted infections,1991,4.972735957,7.096519926,3.675126488
Deaths,Brazil,Both,All Ages,955,955 - HIV/AIDS and sexually transmitted infections,1991,9.235274707,12.10849959,7.469574147
Deaths,Brazil,Male,All Ages,956,956 - Respiratory infections and tuberculosis,1991,56.39349792,62.2150259,52.45397236
Deaths,Brazil,Female,All Ages,956,956 - Respiratory infections and tuberculosis,1991,39.03246408,43.09939744,36.54615146
Deaths,Brazil,Both,All Ages,956,956 - Respiratory infections and tuberculosis,1991,47.61030035,52.17697592,45.15916058
Deaths,Brazil,Male,All Ages,957,957 - Enteric infections,1991,30.60203616,34.46495765,27.37653641
Deaths,Brazil,Female,All Ages,957,957 - Enteric infections,1991,22.43469016,26.04776558,19.58046819
Deaths,Brazil,Both,All Ages,957,957 - Enteric infections,1991,26.47005795,29.01025874,23.98458613
Deaths,Brazil,Male,All Ages,491,491 - Cardiovascular diseases,1991,192.5092905,195.2856174,189.9033675
Deaths,Brazil,Female,All Ages,491,491 - Cardiovascular diseases,1991,156.7733225,158.9758032,154.5019974
Deaths,Brazil,Both,All Ages,491,491 - Cardiovascular diseases,1991,174.4299486,176.6378696,172.2992994
Deaths,Brazil,Male,All Ages,696,696 - Unintentional injuries,1991,33.66917117,34.77718648,32.17580075
Deaths,Brazil,Female,All Ages,696,696 - Unintentional injuries,1991,13.31018206,14.03328798,12.70079526
Deaths,Brazil,Both,All Ages,696,696 - Unintentional injuries,1991,23.36926477,24.08882295,22.41168733
Deaths,Brazil,Male,All Ages,961,961 - Other infectious diseases,1991,10.9188522,11.92966672,8.713537739
Deaths,Brazil,Female,All Ages,961,961 - Other infectious diseases,1991,7.634086053,8.530449562,6.796543464
Deaths,Brazil,Both,All Ages,961,961 - Other infectious diseases,1991,9.257041601,10.02077927,8.068812097
Deaths,Brazil,Male,All Ages,962,962 - Maternal and neonatal disorders,1991,52.28062544,57.38570491,47.47522714
Deaths,Brazil,Female,All Ages,962,962 - Maternal and neonatal disorders,1991,42.69913828,46.63873497,39.47126073
Deaths,Brazil,Both,All Ages,962,962 - Maternal and neonatal disorders,1991,47.43321281,51.30312053,44.15969691
Deaths,Brazil,Male,All Ages,410,410 - Neoplasms,1991,80.89765874,85.48143666,78.98387206
Deaths,Brazil,Female,All Ages,410,410 - Neoplasms,1991,66.87248938,68.07108138,65.49241489
Deaths,Brazil,Both,All Ages,410,410 - Neoplasms,1991,73.80212316,76.30415515,72.29060827
Deaths,Brazil,Male,All Ages,626,626 - Musculoskeletal disorders,1991,0.547275947,0.574004271,0.523321703
Deaths,Brazil,Female,All Ages,626,626 - Musculoskeletal disorders,1991,1.347882333,1.418698706,1.278790817
Deaths,Brazil,Both,All Ages,626,626 - Musculoskeletal disorders,1991,0.952314272,0.994968057,0.909992109
Deaths,Brazil,Male,All Ages,640,640 - Other non-communicable diseases,1991,27.36951242,37.04120965,15.40252176
Deaths,Brazil,Female,All Ages,640,640 - Other non-communicable diseases,1991,25.46553267,32.43364426,13.95850204
Deaths,Brazil,Both,All Ages,640,640 - Other non-communicable diseases,1991,26.40626159,33.59931933,15.77377603
Deaths,Brazil,Male,All Ages,717,717 - Self-harm and interpersonal violence,1991,57.32168793,58.45037479,55.88066193
Deaths,Brazil,Female,All Ages,717,717 - Self-harm and interpersonal violence,1991,7.92003441,8.140994105,7.645063303
Deaths,Brazil,Both,All Ages,717,717 - Self-harm and interpersonal violence,1991,32.32867847,32.92343804,31.52300439
Deaths,Brazil,Male,All Ages,653,653 - Skin and subcutaneous diseases,1991,1.330025927,2.302101007,0.565558275
Deaths,Brazil,Female,All Ages,653,653 - Skin and subcutaneous diseases,1991,1.359748372,2.353497257,0.593930949
Deaths,Brazil,Both,All Ages,653,653 - Skin and subcutaneous diseases,1991,1.345062941,1.998084869,0.741040443
Deaths,Brazil,Male,All Ages,688,688 - Transport injuries,1991,47.33548941,48.72345373,45.50714483
Deaths,Brazil,Female,All Ages,688,688 - Transport injuries,1991,13.28923833,13.95517623,12.60461006
Deaths,Brazil,Both,All Ages,688,688 - Transport injuries,1991,30.11099965,30.95353113,28.9525808
Deaths,Brazil,Male,All Ages,491,491 - Cardiovascular diseases,1990,197.6588482,200.3511287,195.1030256
Deaths,Brazil,Female,All Ages,491,491 - Cardiovascular diseases,1990,160.0840515,161.9789649,158.2776789
Deaths,Brazil,Both,All Ages,491,491 - Cardiovascular diseases,1990,178.6619782,180.4775593,176.9399018
Deaths,Brazil,Male,All Ages,508,508 - Chronic respiratory diseases,1990,33.91533446,34.66254525,33.19379182
Deaths,Brazil,Female,All Ages,508,508 - Chronic respiratory diseases,1990,23.30789603,24.40025655,22.62015755
Deaths,Brazil,Both,All Ages,508,508 - Chronic respiratory diseases,1990,28.55248097,29.10316168,28.0562856
Deaths,Brazil,Male,All Ages,526,526 - Digestive diseases,1990,36.71578274,37.65841865,35.90296479
Deaths,Brazil,Female,All Ages,526,526 - Digestive diseases,1990,18.16364727,18.57688869,17.73474246
Deaths,Brazil,Both,All Ages,526,526 - Digestive diseases,1990,27.33629069,27.88887998,26.79856689
Deaths,Brazil,Male,All Ages,386,386 - Nutritional deficiencies,1990,12.03574259,13.34632711,10.52948387
